Source,Target,Type,id
1112029,1112030,Directed,0
1112029,1137007,Directed,1
1111081,1111045,Directed,2
1111083,1111090,Directed,3
1112013,1112005,Directed,4
1112013,1133061,Directed,5
1112029,1112005,Directed,6
1112030,1111013,Directed,7
1112030,1111090,Directed,8
1112030,1112015,Directed,9
1112030,1124001,Directed,10
1112030,1137005,Directed,11
1112030,1145056,Directed,12
1112030,1132026,Directed,13
1112030,1151009,Directed,14
1113046,1137006,Directed,15
1113086,1145054,Directed,16
1113087,1145055,Directed,17
1151038,1112017,Directed,18
1151038,1151042,Directed,19
1151039,1131065,Directed,20
1151039,1151009,Directed,21
1151039,1152001,Directed,22
1151039,1154016,Directed,23
1153001,1133048,Directed,24
1153001,1133049,Directed,25
1153001,1154016,Directed,26
1153001,1154042,Directed,27
1111013,1133003,Directed,28
1111043,1111044,Directed,29
1111043,1111034,Directed,30
1111048,1111087,Directed,31
1111048,1111088,Directed,32
1111048,1111032,Directed,33
1111055,1111069,Directed,34
1111055,1111057,Directed,35
1111055,1111059,Directed,36
1111055,1111095,Directed,37
1111085,1111091,Directed,38
1111090,1111043,Directed,39
1111090,1111048,Directed,40
1111090,1111055,Directed,41
1111090,1111053,Directed,42
1111091,1111043,Directed,43
1111091,1111048,Directed,44
1112005,1111013,Directed,45
1112005,1111085,Directed,46
1112005,1112016,Directed,47
1112005,1111045,Directed,48
1112015,1111091,Directed,49
1112015,1122012,Directed,50
1112015,1124003,Directed,51
1113069,1113057,Directed,52
1113070,1113057,Directed,53
1100106,1100116,Directed,54
1100106,1100126,Directed,55
1100116,1100136,Directed,56
1121037,1121040,Directed,57
1121037,1123021,Directed,58
1123016,1111058,Directed,59
1123016,1111060,Directed,60
1123021,1123043,Directed,61
1123040,1123041,Directed,62
1123040,1123045,Directed,63
1123041,1123043,Directed,64
1123041,1123044,Directed,65
1123041,1123046,Directed,66
1123044,1123034,Directed,67
1123045,1123041,Directed,68
1123046,1123043,Directed,69
1123055,1111054,Directed,70
1123055,1123016,Directed,71
1123055,1123056,Directed,72
1123056,1111054,Directed,73
1123056,1123016,Directed,74
1124003,1123044,Directed,75
1124003,1124050,Directed,76
1131070,1131071,Directed,77
1111045,1142025,Directed,78
1111045,1133016,Directed,79
1133014,1133015,Directed,80
1145052,1145056,Directed,81
1145052,1145091,Directed,82
1145054,1133014,Directed,83
1145054,1145052,Directed,84
1145054,1145071,Directed,85
1145054,1146038,Directed,86
1145055,1145001,Directed,87
1145056,1145057,Directed,88
1145056,1145060,Directed,89
1145057,1145060,Directed,90
1145060,1145061,Directed,91
1145060,1145066,Directed,92
1145061,1145066,Directed,93
1145066,1146041,Directed,94
1145071,1145072,Directed,95
1146038,1141006,Directed,96
1124001,1124005,Directed,97
1124001,1123040,Directed,98
1124001,1123055,Directed,99
1124001,1124003,Directed,100
1124001,1131070,Directed,101
1124001,1154029,Directed,102
1132026,1132042,Directed,103
1132026,1132068,Directed,104
1132026,1132091,Directed,105
1132026,1132050,Directed,106
1132029,1132030,Directed,107
1132049,1135051,Directed,108
1132092,1132093,Directed,109
1134002,1134003,Directed,110
1134002,1134004,Directed,111
1137015,1132041,Directed,112
1124050,1124049,Directed,113
1133016,1133024,Directed,114
1133049,1133055,Directed,115
1133060,1133009,Directed,116
1133060,1133024,Directed,117
1133060,1133032,Directed,118
1100040,1100106,Directed,119
1100096,1100040,Directed,120
1100040,1100106,Directed,121
1100106,1100116,Directed,122
1137005,1132049,Directed,123
1137006,1132049,Directed,124
1137005,1132029,Directed,125
1132064,1132065,Directed,126
1133048,1132064,Directed,127
1133048,1133060,Directed,128
1137006,1137007,Directed,129
1137006,1145058,Directed,130
1137006,1132026,Directed,131
1137006,1132048,Directed,132
1137006,1132052,Directed,133
1137006,1132067,Directed,134
