id,label,timeset,creditos,tronco,estado
1100033,Induccion a la Vida Universitaria,,3,NIV,3
1100037,Introduccion a la Ingenieria,,6,IMD,3
1111078,Introduccion a la Fisica,,4,NIV,3
1111079,Cinematica y dinamica de particulas,,9,GEN,3
1111081,Dinamica del cuerpo rigido,,9,GEN,3
1111092,Laboratorio de movimiento de una particula,,3,GEN,3
1112013,Complementos de matematicas,,9,GEN,3
1112026,Taller de Matematicas,,7,NIV,3
1112027,Introduccion al calculo,,6,GEN,3
1112028,Calculo diferencial,,9,GEN,3
1113046,Termodinamica,,6,GEN,3
1113084,Estructura atomica y enlace quimico,,9,GEN,3
1113085,Laboratorio de reacciones quimicas,,3,GEN,3
1113086,Estructura y propiedades de los materiales en ingenieria,,6,GEN,3
1113087,Laboratorio de estructura y propiedades de los materiales,,3,GEN,3
1151038,Programacion estructurada,,7,GEN,3
1151039,Metodos numericos en ingenieria,,7,GEN,3
1154046,50 CREDITOS,,5,NIV,3
1154047,100 CREDITOS,,7,NIV,3
1100038,Introduccion al Desarrollo Sustentable,,6,IMD,3
1111083,Introduccion a la electrostatica y magnetostatica,,9,GEN,3
1111093,Laboratorio del cuerpo rigido y oscilaciones,,3,GEN,3
1111094,Laboratorio de electricidad y magnetismo,,3,B PROF,3
1137006,Termodinamica aplicada,,9,B PROF,3
1111013,Dinamica aplicada,,9,B PROF,1
1111090,Induccion y ondas electromagneticas,,9,B PROF,1
1112005,Calculo de varias variables,,12,B PROF,1
1112017,Introduccion al algebra Lineal,,9,INT,1
1112029,Calculo integral,,9,GEN,3
1112030,Ecuaciones diferenciales ordinarias,,9,GEN,2
1113069,Fisicoquimica de los materiales,,9,B PROF,2
1113070,Laboratorio de fisicoquimica de los materiales,,3,B PROF,2
1121037,Diseno Logico *,,12,INT,1
1121040,Laboratorio de Diseno Logico *,,6,INT,1
1124001,Circuitos electricos i,,9,B PROF,2
1124005,Laboratorio de circuitos electricos i,,3,B PROF,2
1131065,Energia Solar Fotovoltaica *,,9,INT,1
1132052,Procesos de Conversion de Energia  *,,6,INT,1
1133061,Dibujo Mecanico Asistido por Computadora *,,9,INT,1
1137005,Transferencia de momento,,9,B PROF,1
1137007,Propiedades termodinamicas,,9,B PROF,1
1145054,Ingenieria de los Materiales *,,9,INT,1
1145055,Laboratorio de Ingenieria de los Materiales *,,3,INT,1
1151042,Algoritmos y Estructura de Datos,,8,INT,1
1152001,Investigacion de Operaciones I,,9,INT,1
1153001,Probabilidad y estadistica,,9,GEN,2
1154048,150 CREDITOS,,9,NIV,1
1100021,Optativa Tecnica de Movilidad I,,3,INT,0
1100022,Optativa Tecnica de Movilidad II,,3,INT,0
1100023,Optativa Tecnica de Movilidad III,,6,INT,0
1100024,Optativa Tecnica de Movilidad IV,,6,INT,0
1100025,Optativa Tecnica de Movilidad V,,9,INT,0
1100026,Optativa Tecnica de Movilidad VI,,9,INT,0
1100039,Innovacion,,6,IMD,0
1100040,Taller de Planeacion y Ejecucion de Proyectos,,6,IMD,0
1100041,Retos del Desarrollo Nacional,,6,IMD,0
1100073,El Paisaje como Agente de los Asentamientos y de la Cultura,,6,IMD,0
1100074,Familia y Violencia en el Mexico Contemporaneo,,6,IMD,0
1100075,Genero y Sexualidad,,6,IMD,0
1100076,Poder y Genero,,6,IMD,0
1100077,Administracion y Economia Politica de la Ciencia y Tecnologia,,6,IMD,0
1100078,Derechos Humanos,,6,IMD,0
1100079,Economia Mundial,,6,IMD,0
1100080,Etica y Valores,,6,IMD,0
1100081,Historia Social de Mexico en el Siglo XX,,6,IMD,0
1100082,Responsabilidad Social Organizacional,,6,IMD,0
1100083,Comunicacion en Proyectos Multidisciplinarios,,6,IMD,0
1100084,Herramientas para  el Emprendedor ,,6,IMD,0
1100085,Insercion Laboral ,,6,IMD,0
1100086,Planeacion Estrategica,,6,IMD,0
1100087,Proyectos de Inversion,,6,IMD,0
1100088,Historia del Arte,,6,IMD,0
1100089,Taller de Dibujo,,6,IMD,0
1100090,Taller de Fotografia,,6,IMD,0
1100091,Taller de Teatro,,6,IMD,0
1100092,Divulgacion del Conocimiento,,6,IMD,0
1100093,Habilidades Creativas para el ambito Profesional,,6,IMD,0
1100094,Laboratorio de Usabilidad,,6,IMD,0
1100095,Narrativa para Medios Audiovisuales y Digitales,,6,IMD,0
1100096,Taller de Expresion Oral y Escrita,,6,IMD,0
1100099,Experiencia Inter y Multidisciplinar,,6,IMD,0
